<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>
LPB,20180828,6.1405,6.1405,6.0751,6.0751,1157740
LPB,20180829,6.1405,6.1405,6.0098,6.0098,1117531
LPB,20180830,6.0751,6.1405,6.0098,6.1405,1078745
LPB,20180831,6.1405,6.1405,6.0098,6.0751,1231202
LPB,20180904,6.1405,6.1405,6.0098,6.0751,811154
LPB,20180905,6.0098,6.0751,5.9445,6.0098,1212410
LPB,20180906,6.0098,6.0098,5.8792,5.9445,573610
LPB,20180907,5.8792,5.9445,5.8138,5.8792,1825423
LPB,20180910,5.8792,5.9445,5.8138,5.8792,785300
LPB,20180911,5.8792,5.9445,5.8138,5.9445,1701448
LPB,20180912,5.8792,5.9445,5.8138,5.8792,1489905
LPB,20180913,5.8138,6.0098,5.6179,5.8792,1094836
LPB,20180914,5.9445,5.9445,5.8792,5.9445,1063536
LPB,20180917,5.9445,5.9445,5.8138,5.8792,977903
LPB,20180918,5.8792,5.9445,5.8138,5.9445,905312
LPB,20180919,5.9445,6.3364,5.8792,6.2058,4269942
LPB,20180920,6.2058,6.2711,6.1405,6.2711,1309555
LPB,20180921,6.2711,6.7937,6.2058,6.7284,6130668
LPB,20180924,6.7284,6.7937,6.5324,6.5977,2413172
LPB,20180925,6.5977,6.6631,6.5324,6.5977,1243037
LPB,20180926,6.5977,6.7284,6.4671,6.5977,3173760
LPB,20180927,6.6631,6.7284,6.5977,6.5977,1204132
LPB,20180928,6.7284,6.9897,6.5977,6.7937,3890577
LPB,20181001,6.9243,7.1856,6.8590,6.9897,4154064
LPB,20181002,6.9897,6.9897,6.8590,6.9243,1888866
LPB,20181003,6.9243,6.9243,6.7284,6.8590,1330584
LPB,20181004,6.8590,6.9243,6.7937,6.9243,1246282
LPB,20181005,6.8590,6.9243,6.7284,6.7937,1747411
LPB,20181008,6.7937,6.7937,6.5977,6.7284,1142498
LPB,20181009,6.6631,6.7284,6.5977,6.6631,1316884
